"","bio1","bio3","bio7","bio8","bio9","bio14","bio15","bio18"
"1",12.7145233154297,21.847993850708,29.8985137939453,23.5041522979736,5.59173679351807,58.9842834472656,31.0666370391846,400.914642333984
"2",12.5206022262573,21.649341583252,29.784122467041,23.2879409790039,10.1790151596069,61.1302604675293,29.2016925811768,388.363952636719
"5",2.86559009552002,22.674222946167,29.7088184356689,13.5421895980835,0.533748984336853,138.485366821289,21.563060760498,669.221923828125
"6",14.9687595367432,19.9644298553467,30.0318126678467,6.79996871948242,12.6956129074097,103.801597595215,28.8108501434326,542.089477539062
"7",14.4271411895752,20.2999362945557,30.1821746826172,6.2215576171875,12.1736898422241,104.54239654541,28.284294128418,545.084350585938
"8",15.1390419006348,19.3640308380127,29.6472568511963,7.08383703231812,12.8201208114624,114.077926635742,27.7696895599365,610.431274414062
"14",13.9757480621338,19.6598052978516,29.6097602844238,5.93721580505371,11.6583089828491,100.963859558105,26.9728298187256,591.85986328125
"16",14.750262260437,18.5338668823242,28.9834537506104,6.88515949249268,12.3521776199341,122.177314758301,30.575403213501,646.723571777344
"17",13.6236162185669,18.9801769256592,29.0402851104736,5.74393701553345,16.2556648254395,121.126678466797,31.3111057281494,653.806762695312
"18",14.5470132827759,17.0418701171875,27.9941272735596,6.94720649719238,12.0136613845825,130.637451171875,28.5273189544678,663.610595703125
"20",15.3644723892212,24.6551456451416,30.9604797363281,25.9838600158691,4.56296014785767,63.153507232666,43.4651069641113,607.953491210938
"21",13.4864540100098,24.3485240936279,31.397891998291,24.2965869903564,2.54323601722717,76.9929428100586,41.6518287658691,635.67138671875
"23",12.6655244827271,18.9690551757812,26.6246109008789,20.3614158630371,2.98694276809692,46.1838111877441,37.0812187194824,420.251678466797
"24",14.1689510345459,18.5894050598145,26.1132049560547,23.8646106719971,4.62616777420044,36.7696952819824,48.5593872070312,419.898742675781
"25",15.7218837738037,25.9538745880127,30.9281616210938,23.158821105957,5.21926593780518,47.8413162231445,46.7279815673828,530.765563964844
"26",13.9704790115356,19.3263607025146,28.6539192199707,6.20991516113281,11.3948879241943,87.51953125,33.6092109680176,465.198974609375
"28",9.19919776916504,21.4574146270752,29.8500995635986,20.0032005310059,6.86229610443115,76.4360504150391,30.0239276885986,533.947021484375
"30",16.9250755310059,22.4870548248291,27.9617595672607,23.4384479522705,6.9474196434021,50.6120491027832,42.1809196472168,551.065063476562
"32",16.065580368042,16.0673866271973,25.9448375701904,25.848934173584,13.7517337799072,106.974868774414,25.1233577728271,538.035278320312
"35",16.4046688079834,15.4910469055176,24.380931854248,24.876745223999,7.30564832687378,92.0651321411133,49.697925567627,828.073425292969
"37",16.9803676605225,17.4793376922607,24.2872467041016,25.3007907867432,8.04734897613525,92.6861190795898,55.1242218017578,864.980102539062
"39",15.0842428207397,24.784387588501,27.7662696838379,24.1690692901611,5.48323106765747,79.6628723144531,53.8390007019043,772.001892089844
"40",16.0769100189209,24.2714996337891,28.3113594055176,25.4639301300049,6.28615045547485,54.2444229125977,59.2369117736816,762.485961914062
"41",14.6760025024414,16.9945030212402,25.2516708374023,20.6972999572754,5.37833547592163,100.347579956055,44.3627090454102,705.238586425781
"42",15.6991510391235,16.0324726104736,25.1449222564697,21.7103881835938,6.36613988876343,91.3831558227539,35.2926750183105,557.720581054688
"43",13.4850406646729,17.6245937347412,25.1552085876465,19.4658317565918,4.31426811218262,79.5683746337891,47.503173828125,619.62255859375
"46",13.8365783691406,20.1225681304932,27.3352737426758,23.8033084869385,7.41460514068604,117.704376220703,25.2670383453369,599.740112304688
"47",15.8519802093506,24.939359664917,29.3005561828613,23.111328125,5.84510564804077,52.5439987182617,41.922924041748,443.324035644531
"48",11.7045621871948,19.5734558105469,29.0224838256836,3.83201575279236,14.3373947143555,94.4097900390625,50.7723274230957,594.21240234375
"50",14.3984680175781,19.3467693328857,29.2204990386963,6.47021818161011,11.9409856796265,73.9247055053711,41.9722023010254,512.564453125
"51",13.4496831893921,19.1049499511719,28.960376739502,5.59206581115723,16.0745506286621,83.0497894287109,53.01171875,538.562255859375
"57",10.6081171035767,21.3651599884033,29.3826904296875,2.65929889678955,8.2049446105957,103.422119140625,28.2955532073975,589.731689453125
"61",12.9181318283081,21.9628524780273,28.9822025299072,23.2668685913086,2.61928153038025,40.9522819519043,47.6832160949707,478.304290771484
"62",11.3580074310303,18.8693923950195,28.2917747497559,3.67677664756775,8.70150852203369,99.1292266845703,33.4912986755371,556.739379882812
"64",11.3827028274536,21.5093402862549,28.9041881561279,21.8183841705322,1.46511840820312,43.4875297546387,41.5071907043457,437.099365234375
"65",9.82562828063965,21.7727928161621,28.9689521789551,20.2944965362549,2.91650199890137,46.7176475524902,41.6079521179199,460.126037597656
"66",10.1738386154175,21.9610538482666,29.3122539520264,6.88073396682739,3.20959067344666,84.7509613037109,19.7996253967285,418.359619140625
"67",12.084997177124,21.8262691497803,29.64284324646,22.7507133483887,5.05469942092896,93.6915740966797,23.5799713134766,492.779296875
"68",10.0434684753418,18.2621326446533,29.1246871948242,20.9193820953369,2.97154664993286,75.2008438110352,30.2100391387939,602.121398925781
"69",7.82546234130859,16.9212055206299,28.360668182373,18.6577072143555,0.803367853164673,100.746917724609,23.9274711608887,631.746948242188
"70",8.11096572875977,16.9821224212646,28.3912086486816,18.9452342987061,1.08890342712402,85.6226806640625,24.7843399047852,531.927429199219
"71",16.8779277801514,18.0125274658203,24.5491199493408,25.259801864624,7.88948678970337,89.1403274536133,51.870532989502,860.117797851562
"73",16.5557460784912,13.6554851531982,23.5266075134277,24.8497543334961,7.6385383605957,83.5258331298828,55.5523147583008,818.696533203125
